Time [s],Value,Parity Error,Framing Error
1.4476895,0x03,,
1.4476995,0x1E,,
1.4477095,0x68,,
1.4477195,0x02,,
1.4477295,0x58,,
1.4479075625,0xFF,,
1.4479175625,0xFF,,
1.4479275625,0x12,,
1.4479375625,0x05,,
1.4479475625,0x03,,
1.4479575625,0x1E,,
1.447967625,0xD3,,
1.447977625,0x02,,
1.447987625,0xF2,,
1.4481705625,0xFF,,
1.448180625,0xFF,,
1.448190625,0x10,,
1.448200625,0x05,,
1.448210625,0x03,,
1.448220625,0x1E,,
1.448230625,0x00,,
1.448240625,0x02,,
1.448250625,0xC7,,
1.4484286875,0xFF,,
1.4484386875,0xFF,,
1.4484486875,0x23,,
1.4484586875,0x04,,
1.4484686875,0x03,,
1.4484786875,0x20,,
1.4484886875,0x00,,
1.44849875,0xB5,,
1.46590725,0xFF,,
1.46591725,0xFF,,
1.46592725,0x01,,
1.46593725,0x05,,
1.46594725,0x03,,
1.46595725,0x1E,,
1.4659673125,0xF6,,
1.4659773125,0x01,,
1.4659873125,0xE1,,
1.46803325,0xFF,,
1.46804325,0xFF,,
1.46805325,0x02,,
1.46806325,0x05,,
1.46807325,0x03,,
1.46808325,0x1E,,
1.46809325,0xEB,,
1.46810325,0x01,,
1.4681133125,0xEB,,
1.4700301875,0xFF,,
1.47004025,0xFF,,
1.47005025,0x03,,
1.47006025,0x05,,
1.47007025,0x03,,
1.47008025,0x1E,,
1.47009025,0x22,,
1.47010025,0x02,,
1.47011025,0xB2,,
1.4719634375,0xFF,,
1.4719734375,0xFF,,
1.4719834375,0x04,,
1.4719934375,0x05,,
1.4720034375,0x03,,
1.4720134375,0x1E,,
1.4720234375,0x16,,
1.4720334375,0x02,,
1.4720434375,0xBD,,
1.4727503125,0xFF,,
1.4727603125,0xFF,,
1.4727703125,0x17,,
1.4727803125,0x05,,
1.4727903125,0x03,,
1.4728003125,0x1E,,
1.4728103125,0x69,,
1.4728203125,0x02,,
1.472830375,0x57,,
1.4730275,0xFF,,
1.4730375625,0xFF,,
1.4730475625,0x12,,
1.4730575625,0x05,,
1.4730675625,0x03,,
1.4730775625,0x1E,,
1.4730875625,0xD2,,
1.4730975625,0x02,,
1.4731075625,0xF3,,
1.47327925,0xFF,,
1.47328925,0xFF,,
1.47329925,0x10,,
1.47330925,0x05,,
1.47331925,0x03,,
1.47332925,0x1E,,
1.47333925,0x00,,
1.47334925,0x02,,
1.4733593125,0xC7,,
1.4735295,0xFF,,
1.4735395,0xFF,,
1.4735495,0x23,,
1.4735595,0x04,,
1.4735695625,0x03,,
1.4735795625,0x20,,
1.4735895625,0xFF,,
1.4735995625,0xB6,,
1.489035,0xFF,,
1.489045,0xFF,,
1.489055,0x01,,
1.489065,0x05,,
1.489075,0x03,,
1.489085,0x1E,,
1.489095,0xF7,,
1.489105,0x01,,
1.4891150625,0xE0,,
1.49104475,0xFF,,
1.49105475,0xFF,,
1.49106475,0x02,,
1.49107475,0x05,,
1.49108475,0x03,,
1.49109475,0x1E,,
1.49110475,0xEB,,
1.49111475,0x01,,
1.49112475,0xEB,,
1.4930878125,0xFF,,
1.4930978125,0xFF,,
1.4931078125,0x03,,
1.4931178125,0x05,,
1.4931278125,0x03,,
1.4931378125,0x1E,,
1.4931478125,0x24,,
1.4931578125,0x02,,
1.4931678125,0xB0,,
1.4950465,0xFF,,
1.4950565,0xFF,,
1.4950665,0x04,,
1.4950765,0x05,,
1.4950865,0x03,,
1.4950965,0x1E,,
1.4951065,0x17,,
1.4951165625,0x02,,
1.4951265625,0xBC,,
1.495833375,0xFF,,
1.495843375,0xFF,,
1.495853375,0x17,,
1.4958634375,0x05,,
1.4958734375,0x03,,
1.4958834375,0x1E,,
1.4958934375,0x69,,
1.4959034375,0x02,,
1.4959134375,0x57,,
1.496097875,0xFF,,
1.496107875,0xFF,,
1.496117875,0x12,,
1.496127875,0x05,,
1.496137875,0x03,,
1.496147875,0x1E,,
1.496157875,0xD2,,
1.496167875,0x02,,
1.496177875,0xF3,,
1.496360875,0xFF,,
1.496370875,0xFF,,
1.496380875,0x10,,
1.496390875,0x05,,
1.4964009375,0x03,,
1.4964109375,0x1E,,
1.4964209375,0x00,,
1.4964309375,0x02,,
1.4964409375,0xC7,,
1.4966061875,0xFF,,
1.49661625,0xFF,,
1.49662625,0x23,,
1.49663625,0x04,,
1.49664625,0x03,,
1.49665625,0x20,,
1.49666625,0x00,,
1.49667625,0xB5,,
1.512194875,0xFF,,
1.512204875,0xFF,,
1.512214875,0x01,,
1.512224875,0x05,,
1.512234875,0x03,,
1.512244875,0x1E,,
1.512254875,0xF8,,
1.5122649375,0x01,,
